vmstat 1
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0 1122788 14552128    332  57828  516    0   732     0  834 1172  2  0 98  0  0
 0  0 1122780 14551136    340  57828    0    0     0    16  199  811  1  0 99  0  0
 0  0 1122756 14551136    340  57820   32    0   104     0  288 1225  1  0 99  0  0
 1  0 1122756 14551088    340  57824    0    0     0     0  237 1129  1  0 99  0  0
 0  0 1122756 14551352    340  57804    0    0     0     0  253 1123  1  0 99  0  0
 1  0 1122756 14553024    340  57904    0    0     0     0  341  920  2  0 98  0  0
 0  0 1122700 14551216    340  57912    0    0     0     0  581 1320  4  0 96  0  0
 0  0 1122700 14550400    348  57896    0    0     0    16  623 1297  3  0 97  0  0
 0  0 1122624 14548324    348  60352   64    0  2828     0  395 3365  1  0 93  5  0
 0  0 1122624 14547920    352  60640    0    0    80     0  372 2828  1  0 99  0  0
 0  0 1122064 14538400    352  67036  384    0  6548     0  506 2581  1  0 96  3  0
 0  0 1122056 14538604    352  66916    0    0     0     0  155  571  0  0 100  0  0
 0  0 1122052 14539828    360  67300    0    0   404    16  134  395  0  0 100  0  0
 0  0 1122052 14539844    360  67300    0    0     0     0  124  343  0  0 100  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0 1122052 14540728    360  67312    0    0     0     0   85  218  0  0 100  0  0
 0  0 1122028 14537116    392  68964   16    0  1692     0  196  589  0  0 99  1  0
 0  0 1121888 14526568    616  74200  160    0  5584     0  724 2163  1  0 98  1  0
 0  0 1121872 14526872    616  74332    0    0   128     0  129  362  0  0 100  0  0
 0  0 1121872 14526632    624  74328    0    0     0    28   89  214  0  0 100  0  0
 0  0 1121872 14526608    624  74456    0    0   128     0  116  442  0  0 100  0  0
 0  0 1121852 14531584    628  74468    0    0    16     0  355 2411  1  0 99  0  0
 1  0 1121848 14532700    628  74472    0    0     0     0  214  918  0  0 99  0  0
 0  0 1121832 14532760    628  74480    0    0     0     0  281 1270  1  0 99  0  0
 0  0 1121800 14533208    636  74468    0    0     0    48  376 1176  1  0 99  0  0
 0  0 1121568 14529876    696  75636  256    0  1584     0  355 1136  1  0 96  2  0
 0  0 1121552 14529480    696  75788    0    0     0     0  434 1261  2  0 98  0  0
 1  0 1121524 14528804    696  75748    0    0     0     0  367 1055  2  0 98  0  0
 0  0 1121504 14528804    696  75748    0    0     0     0  342 1020  1  0 99  0  0
 0  0 1121488 14528632    696  75756    0    0     0    12  282  737  1  0 98  0  0
 0  0 1121460 14528352    704  75760   32    0    32    28  390 1117  2  0 98  0  0
 0  0 1121324 14528320    704  75784   64    0    64     0  391 1111  2  0 98  0  0
 0  0 1121320 14527420    704  75788    0    0     0     0  267 1658  0  0 99  0  0
^C
[eos24:~/CIS452/lab10]$ /usr/bin/time -v ./a.out
	Command being timed: "./a.out"
	User time (seconds): 45.92
	System time (seconds): 2.22
	Percent of CPU this job got: 99%
